job_id,op_seq,stage_name,machine_family,mandatory,release_time_min
J0001,1,WEIGH_IN,WEIGHBRIDGE,1,12
J0001,2,SAMPLE_CLASSIFY,LAB,1,0
J0001,3,UNLOAD,HOPPER,1,0
J0001,4,WEIGH_OUT,WEIGHBRIDGE,1,0
J0002,1,WEIGH_IN,WEIGHBRIDGE,1,14
J0002,2,SAMPLE_CLASSIFY,LAB,1,0
J0002,3,UNLOAD,HOPPER,1,0
J0002,4,WEIGH_OUT,WEIGHBRIDGE,1,0
J0003,1,WEIGH_IN,WEIGHBRIDGE,1,16
J0003,2,SAMPLE_CLASSIFY,LAB,1,0
J0003,3,UNLOAD,HOPPER,1,0
J0003,4,WEIGH_OUT,WEIGHBRIDGE,1,0
J0004,1,WEIGH_IN,WEIGHBRIDGE,1,32
J0004,2,SAMPLE_CLASSIFY,LAB,1,0
J0004,3,UNLOAD,HOPPER,1,0
J0004,4,WEIGH_OUT,WEIGHBRIDGE,1,0
J0005,1,WEIGH_IN,WEIGHBRIDGE,1,41
J0005,2,SAMPLE_CLASSIFY,LAB,1,0
J0005,3,UNLOAD,HOPPER,1,0
J0005,4,WEIGH_OUT,WEIGHBRIDGE,1,0
J0006,1,WEIGH_IN,WEIGHBRIDGE,1,60
J0006,2,SAMPLE_CLASSIFY,LAB,1,0
J0006,3,UNLOAD,HOPPER,1,0
J0006,4,WEIGH_OUT,WEIGHBRIDGE,1,0
J0007,1,WEIGH_IN,WEIGHBRIDGE,1,68
J0007,2,SAMPLE_CLASSIFY,LAB,1,0
J0007,3,UNLOAD,HOPPER,1,0
J0007,4,WEIGH_OUT,WEIGHBRIDGE,1,0
J0008,1,WEIGH_IN,WEIGHBRIDGE,1,70
J0008,2,SAMPLE_CLASSIFY,LAB,1,0
J0008,3,UNLOAD,HOPPER,1,0
J0008,4,WEIGH_OUT,WEIGHBRIDGE,1,0
J0009,1,WEIGH_IN,WEIGHBRIDGE,1,74
J0009,2,SAMPLE_CLASSIFY,LAB,1,0
J0009,3,UNLOAD,HOPPER,1,0
J0009,4,WEIGH_OUT,WEIGHBRIDGE,1,0
J0010,1,WEIGH_IN,WEIGHBRIDGE,1,75
J0010,2,SAMPLE_CLASSIFY,LAB,1,0
J0010,3,UNLOAD,HOPPER,1,0
J0010,4,WEIGH_OUT,WEIGHBRIDGE,1,0
J0011,1,WEIGH_IN,WEIGHBRIDGE,1,75
J0011,2,SAMPLE_CLASSIFY,LAB,1,0
J0011,3,UNLOAD,HOPPER,1,0
J0011,4,WEIGH_OUT,WEIGHBRIDGE,1,0
J0012,1,WEIGH_IN,WEIGHBRIDGE,1,77
J0012,2,SAMPLE_CLASSIFY,LAB,1,0
J0012,3,UNLOAD,HOPPER,1,0
J0012,4,WEIGH_OUT,WEIGHBRIDGE,1,0
J0013,1,WEIGH_IN,WEIGHBRIDGE,1,81
J0013,2,SAMPLE_CLASSIFY,LAB,1,0
J0013,3,UNLOAD,HOPPER,1,0
J0013,4,WEIGH_OUT,WEIGHBRIDGE,1,0
J0014,1,WEIGH_IN,WEIGHBRIDGE,1,82
J0014,2,SAMPLE_CLASSIFY,LAB,1,0
J0014,3,UNLOAD,HOPPER,1,0
J0014,4,WEIGH_OUT,WEIGHBRIDGE,1,0
J0015,1,WEIGH_IN,WEIGHBRIDGE,1,82
J0015,2,SAMPLE_CLASSIFY,LAB,1,0
J0015,3,UNLOAD,HOPPER,1,0
J0015,4,WEIGH_OUT,WEIGHBRIDGE,1,0
J0016,1,WEIGH_IN,WEIGHBRIDGE,1,83
J0016,2,SAMPLE_CLASSIFY,LAB,1,0
J0016,3,UNLOAD,HOPPER,1,0
J0016,4,WEIGH_OUT,WEIGHBRIDGE,1,0
J0017,1,WEIGH_IN,WEIGHBRIDGE,1,88
J0017,2,SAMPLE_CLASSIFY,LAB,1,0
J0017,3,UNLOAD,HOPPER,1,0
J0017,4,WEIGH_OUT,WEIGHBRIDGE,1,0
J0018,1,WEIGH_IN,WEIGHBRIDGE,1,88
J0018,2,SAMPLE_CLASSIFY,LAB,1,0
J0018,3,UNLOAD,HOPPER,1,0
J0018,4,WEIGH_OUT,WEIGHBRIDGE,1,0
J0019,1,WEIGH_IN,WEIGHBRIDGE,1,89
J0019,2,SAMPLE_CLASSIFY,LAB,1,0
J0019,3,UNLOAD,HOPPER,1,0
J0019,4,WEIGH_OUT,WEIGHBRIDGE,1,0
J0020,1,WEIGH_IN,WEIGHBRIDGE,1,90
J0020,2,SAMPLE_CLASSIFY,LAB,1,0
J0020,3,UNLOAD,HOPPER,1,0
J0020,4,WEIGH_OUT,WEIGHBRIDGE,1,0
J0021,1,WEIGH_IN,WEIGHBRIDGE,1,92
J0021,2,SAMPLE_CLASSIFY,LAB,1,0
J0021,3,UNLOAD,HOPPER,1,0
J0021,4,WEIGH_OUT,WEIGHBRIDGE,1,0
J0022,1,WEIGH_IN,WEIGHBRIDGE,1,94
J0022,2,SAMPLE_CLASSIFY,LAB,1,0
J0022,3,UNLOAD,HOPPER,1,0
J0022,4,WEIGH_OUT,WEIGHBRIDGE,1,0
J0023,1,WEIGH_IN,WEIGHBRIDGE,1,97
J0023,2,SAMPLE_CLASSIFY,LAB,1,0
J0023,3,UNLOAD,HOPPER,1,0
J0023,4,WEIGH_OUT,WEIGHBRIDGE,1,0
J0024,1,WEIGH_IN,WEIGHBRIDGE,1,97
J0024,2,SAMPLE_CLASSIFY,LAB,1,0
J0024,3,UNLOAD,HOPPER,1,0
